gid	gid_v3	B_Anther	B_Ear	B_Embryo	B_Endosperm	B_Internode	B_Leaf	B_Leaf10	B_Root	B_Shoot	B_Tassel	W_Anther	W_Ear	W_Embryo	W_Endosperm	W_Internode	W_Leaf	W_Leaf10	W_Root	W_Shoot	W_Tassel
Zm00001d045206	GRMZM2G099363	26.5	9.5	9.7	50.3	114.5	10.1	288.7	57.3	16.5	107.5	36.9	6.0	13.4	63.8	88.7	4.9	367.9	62.0	13.0	110.7
Zm00001d045254	GRMZM2G063550	0.7	2.7	37.3	0.1	0.2	0.0	0.0	0.0	0.5	0.4	0.6	0.2	0.4	0.0	0.0	0.0	0.0	0.0	0.0	48.1
Zm00001d045706	GRMZM2G058675	432.1	126.0	554.8	39.9	728.8	1235.6	318.0	421.4	191.7	359.1	415.8	123.1	808.1	31.7	374.3	1115.7	159.0	445.4	150.6	580.7
Zm00001d046855	GRMZM2G029856	43.5	18.0	18.1	16.1	36.8	16.6	33.7	83.1	28.1	48.7	44.8	22.1	24.8	20.7	46.2	19.3	25.4	67.6	29.1	54.9
Zm00001d046915	GRMZM2G055320	88.9	12.0	19.1	4.0	16.2	2.3	138.3	98.4	54.1	143.2	75.0	9.3	20.8	7.3	16.6	1.5	235.0	90.5	65.6	192.7
Zm00001d047452	GRMZM2G167336	1.1	0.1	3.5	0.0	0.0	9.5	5.9	6.7	4.7	1.2	1.1	1.3	2.0	0.0	0.0	2.6	6.3	0.8	5.7	8.9
Zm00001d047796	GRMZM2G166767	43.9	38.3	56.0	30.1	67.4	84.8	155.0	59.0	70.3	161.4	53.0	27.6	33.6	71.9	65.9	24.6	128.2	68.3	71.8	339.1
Zm00001d047797	GRMZM2G165357	107.7	53.9	54.9	34.5	307.5	95.1	261.6	362.0	230.1	114.6	87.5	30.2	44.8	26.3	198.7	54.3	506.0	328.3	216.9	484.3
Zm00001d048702	GRMZM2G167549	31.1	219.7	26.2	0.0	35.4	10.9	67.5	7.2	515.1	43.4	8.3	239.0	12.8	0.1	20.4	13.2	294.6	62.1	664.5	126.4
Zm00001d048705	GRMZM2G063756	15.2	213.9	74.6	0.0	133.8	7.1	164.8	6.1	728.2	21.0	4.8	471.9	32.4	0.1	353.7	20.5	491.3	42.3	594.4	178.8
Zm00001d048707	GRMZM2G085054	18.1	71.1	94.3	13.6	57.2	22.6	49.3	92.0	96.9	28.2	10.8	52.4	103.0	35.1	64.0	20.0	74.2	89.7	116.8	49.3
Zm00001d048709	GRMZM2G085381	0.6	0.1	0.1	0.0	0.6	0.0	0.1	3.3	206.3	0.9	0.6	79.3	0.0	0.0	2.8	44.2	50.7	47.7	346.0	9.8
Zm00001d048710	GRMZM2G085661	6.5	1.0	0.0	0.0	8.7	0.1	4.0	0.1	194.1	2.3	1.0	90.7	0.1	0.0	67.0	0.3	50.9	4.1	243.0	17.7
Zm00001d048954	GRMZM2G138907	36.2	12.7	26.5	8.4	99.6	47.4	56.8	99.5	44.7	76.9	20.8	13.0	25.6	4.2	46.4	22.6	41.1	138.0	40.3	25.4
Zm00001d049541	AC196475.3_FG004	149.2	26.4	16.1	23.3	880.3	148.4	2171.2	879.8	190.8	553.4	199.6	28.5	4.3	12.7	414.0	112.4	3673.8	734.7	215.6	785.8
Zm00001d050224	GRMZM2G174732	15.1	0.0	0.1	3.3	18.9	10.6	12.1	16.1	1.3	4.1	24.3	0.1	0.2	13.4	9.4	15.1	22.0	23.1	4.0	8.7
Zm00001d050955	GRMZM2G313750	7.0	4.0	2.8	1.4	2.2	17.0	3.2	1.1	1.9	1.5	0.2	0.1	0.2	0.0	0.3	4.6	0.2	0.3	0.1	5.4
Zm00001d051161	GRMZM2G160541	10.9	2.9	0.6	0.3	23.1	1.0	98.0	94.3	35.3	64.1	35.8	7.0	22.8	2.2	60.2	1.2	1178.8	505.2	96.2	305.0
Zm00001d051163	GRMZM2G081582	74.5	6.2	12.3	0.7	86.1	9.7	54.1	93.6	39.2	57.8	54.4	1.1	13.3	2.1	23.1	9.1	112.6	73.6	46.7	84.6
Zm00001d051166	GRMZM2G063917	6.7	0.1	0.1	0.0	17.6	1.5	1.0	9.2	0.5	2.3	3.1	0.0	0.0	0.0	0.6	1.5	1.0	2.0	0.3	0.3
Zm00001d051529	GRMZM2G054013	19.4	29.4	5.0	0.1	6.7	23.0	68.6	3.9	40.2	8.3	36.3	6.6	1.7	0.1	1.1	38.6	66.0	4.7	63.7	88.4
Zm00001d051754	GRMZM2G125268	18.4	283.7	200.7	111.0	113.6	6.0	5.4	18.9	19.3	49.6	52.8	305.0	170.2	76.9	231.2	78.8	75.4	60.4	21.7	123.0
Zm00001d051870	GRMZM2G082007	73.5	30.1	24.1	12.0	29.1	94.5	53.6	4.4	45.4	75.6	98.7	22.6	14.9	7.7	20.3	85.4	43.0	2.8	40.4	37.5
Zm00001d051896	GRMZM2G146234	5.4	0.8	1.1	0.1	94.0	10.7	0.7	15.1	12.1	4.2	4.6	0.4	0.3	0.0	14.4	2.1	0.2	17.3	6.7	2.7
Zm00001d051938	GRMZM2G099420	0.5	0.2	0.1	0.1	3.9	0.3	0.0	0.4	0.6	0.3	2.3	0.7	0.1	0.1	6.9	1.2	1.0	1.2	1.6	1.0
Zm00001d052053	GRMZM2G042179	79.6	26.0	90.4	2.8	5.2	4.6	5.7	21.2	27.1	4.9	64.9	69.2	183.0	6.5	34.5	1.9	2.6	16.2	27.8	51.6
Zm00001d052673	GRMZM2G422750	215.2	0.3	20.0	0.0	8.1	75.6	887.2	15.1	89.3	79.8	23.3	0.2	6.3	0.1	0.9	30.6	467.8	5.1	91.3	175.2
Zm00001d052683	GRMZM2G097297	45.7	0.2	0.1	0.0	301.9	0.1	359.8	1.5	128.4	6.7	0.0	0.0	0.0	0.0	0.4	0.0	0.1	0.0	0.0	0.0
Zm00001d052841	GRMZM2G332522	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Zm00001d052842	GRMZM2G033952	1.0	0.1	0.1	0.0	0.4	0.4	0.1	75.4	0.4	0.1	0.9	0.0	0.0	0.1	0.1	0.2	0.1	63.4	0.4	0.2
Zm00001d053156	GRMZM2G041866	0.2	0.1	0.0	0.0	0.5	0.1	0.1	118.3	21.6	1.0	1.8	1.0	0.1	0.0	0.5	0.0	0.6	45.3	25.5	232.5
