chromosome coordinate	FPKM
3:108824004-108836300	0.36156
1:249805931-249806411	0.181852
1:249813964-249814447	0.181572
8:82826975-82827489	6.81544
8:82704347-82705602	0.418332
6:78468698-78471235	0.0821029
6:78609923-78619923	0.371607
2:11371268-11371493	28.3139
1:19678556-19678868	0
6:63390931-63391652	0.364233
5:138416996-138420989	0.0486637
1:180815571-180818715	1.13982
5:209115730-209116222	0.129598
6:48716422-48717417	0.0741285
8:158365404-158365749	11.5607
5:70524831-70527343	4.30441
2:179082301-179082939	0.145396
7:85585912-85587861	0.0515538
7:69078976-69079991	0
6:163910474-163912307	0.157251
6:163871991-163873643	0.310422
6:163868873-163870746	0.028008
7:167497699-167504924	0.248326
2:219552658-219558699	28.3188
1:7554959-7555421	0
8:136838638-136839385	1.11401
8:26598514-26598937	0.235842
8:119836696-119836948	1.29872
4:83868008-83868700	0.0760683
5:142001159-142003509	0.111391
1:249409317-249409734	0.245515
7:121872348-121873977	1.13039
1:192654511-192658225	0.272824
2:115999800-116000178	0.467172
3:1885668-1901782	0.292853
5:88559614-88560763	0.674911
1:300634557-300646959	0.887978
9:712856-713707	0.139981
7:136373270-136378039	0.298354
3:143816343-143819100	0
8:137142056-137164518	0.347657
4:118468776-118470632	0.0214101
4:8901386-8901950	1.41055
5:71104498-71104958	0.887319
7:41731650-41795285	0.0727203
9:37543395-37547866	0.186837
9:63336621-63337866	0.127887
9:150711345-150714357	0.286772
3:173374304-173374766	0.932366
1:248460629-248462023	4.56303
8:162970639-162971117	3.36052
8:20297012-20300099	6.05305
4:235224556-235226134	0.397189
9:154015325-154018616	5.17324
6:57451485-57452847	0
2:227303144-227304552	0.0343698
10:97749816-97750479	0.293045
8:163286933-163293539	0.746522
8:163294980-163295307	0.973592
5:103995249-103998930	0.43561
4:236889763-236896419	3.13377
1:261093372-261094127	0.95869
8:31979542-31980835	0.549812
3:140687784-140688711	0.200205
9:38236083-38237808	0
1:2353787-2357370	0.249401
3:61845090-61859202	0.164246
1:9491185-9500155	0.211463
8:158898962-158899549	0.306596
10:71810094-71810736	0.175158
2:2896355-2896634	1.35749
8:144855030-144855641	2.368
2:8514944-8515178	1.47197
8:134716280-134716842	2.0095
2:229567791-229568184	0.172413
4:208486040-208488216	5.17041
4:208417833-208422780	2.22231
4:208411174-208412665	0.129821
10:88588527-88608857	0
1:16626948-16628169	0.372374
4:148122752-148126811	0.547329
1:94996633-94999540	0.206461
4:190959040-190959886	0.99041
3:155345464-155345816	67.0351
8:139014641-139020725	67.6816
4:44134083-44143261	0.293498
3:93501610-93512413	0.0360085
10:107227057-107227477	2.22054
8:149887724-149891509	1.0634
8:149902999-149909521	5.21788
9:83768424-83769892	0.328318
8:13441473-13442335	0.258783
4:32249637-32251551	96.8012
4:32243053-32246208	53.7408
2:63944480-63944981	145.359
3:203169069-203171450	0.208006
9:12246281-12248389	0.0461915
3:170538882-170540691	0.216308
1:257314462-257324941	1.42102
8:154318949-154320050	0.09875
7:72242503-72287055	0.289288
4:237687525-237688759	1.02483
2:232947364-232947730	2.08743
2:232890802-232891213	5.91926
7:139525993-139526248	3.66116
10:104263765-104264417	0.231362
6:69452454-69453675	0
6:69566697-69567925	0.39916
1:31068643-31206122	0.658781
2:8166834-8167152	5.11269
2:8060364-8061161	1.14165
7:78342378-78372640	0.551913
7:78342378-78372640	0.182581
1:181633451-181635532	0.479085
7:148082946-148083258	3.33699
6:157510770-157511133	20.0709
4:223763562-223772524	5.42158
10:4584559-4586255	0.300216
10:4516273-4517728	1.79936
8:129065024-129065324	0.559084
7:159033699-159034362	6.83359
1:289500974-289502545	0.292792
8:40041015-40042308	0.238423
8:126620837-126621472	0.594523
5:42459743-42460130	2.578
1:75313872-75315704	0.173179
1:75284748-75286397	1.89139
1:75283696-75284346	1.87758
7:105507164-105508617	4.28209
3:73135389-73137082	0.159089
5:6871269-6874733	6.00225
UNKNOWN:803771-804403	0.151529
2:75431987-75432446	1.69626
2:75419238-75423605	10.7089
9:74823666-74825516	0.231243
3:128017972-128021050	0.0448329
3:36464632-36464851	1.43486
2:233250390-233251073	30.3664
8:150767524-150769119	0.0537369
9:32156814-32158679	0.180196
5:78819802-78826612	6.75119
5:15703664-15718967	11.8268
5:15573933-15574756	0.53116
6:168355069-168365572	0.156557
10:2480006-2481833	0.567463
10:2466639-2467603	1.08233
7:59140643-59141130	2.51163
10:26652885-26653317	0.519654
8:148503506-148509454	0.975695
1:192101695-192103976	8.76365
1:191987931-191990561	32.0233
2:196050684-196097541	0.102311
2:196188461-196189749	0.270499
6:38328213-38329394	0
6:38267492-38271173	1.72822
9:50807697-50808219	0.424
9:50702673-50703129	0.19326
4:180264114-180265315	0.430235
1:271969587-271986783	0.601417
2:41898368-41901428	0.328424
5:104969845-104970052	2.0455
2:170674745-170681008	0.234299
8:121414760-121417318	0.429125
8:157386209-157395665	3.19728
4:203227054-203228144	0.0594214
1:63919028-63919998	2.1228
7:70622040-70626465	76.5619
1:21196692-21221560	1.56094
1:21245281-21246475	0.366945
3:223576188-223577802	0.443885
1:27401503-27406941	5.21993
3:227491352-227492181	0.83175
3:227494430-227495354	5.03856
6:89141657-89144248	0.110995
2:32405039-32405589	0.590053
2:32496377-32499262	0.181784
3:192774501-192779708	2.77423
8:151493439-151493835	6.81139
7:17517451-17517949	0.173751
10:98135180-98154139	53.4112
9:17014252-17017081	0.907186
9:17002566-17006457	0.165878
9:16996582-17000816	3.74098
9:16986487-16990375	0.550425
8:118165587-118167724	23.4291
8:118098924-118100026	0.148324
8:118103123-118103722	33.0483
8:118186656-118188309	16.8054
8:118191460-118195143	54.754
8:118078272-118090836	0.79805
8:118092116-118093613	0.0270584
4:58521508-58522551	7.19645
9:146816173-146818566	92.3178
10:106556120-106556546	0.206139
5:36832339-36833181	0
3:72803540-72818054	0
3:39580534-39580906	0.690616
7:115285643-115286018	0.869535
4:210190454-210192502	5.02669
6:34750076-34752809	0.0797113
9:82665825-82666573	0.400115
8:47416474-47418545	0.203205
5:188388859-188390980	18.1054
5:198996187-198998115	0.544914
7:72579217-72579616	0.343249
5:128454833-128463337	0.573462
2:80578835-80579897	0.0332901
2:138082397-138082724	0.361345
2:188791939-188794503	0.0594074
2:188770908-188785073	0.6575
1:233330195-233331681	30.6299
10:1887301-1889559	1.27728
7:105065221-105069637	0.410803
7:101875319-101876777	0.777886
1:264181459-264181897	0.335757
1:295106762-295189976	1.01252
7:97336350-97341531	5.18407
8:3372637-3373332	0.0738314
10:102285649-102293029	0
7:170099728-170103818	67.7885
1:274272062-274273156	0.0511949
6:152270388-152287492	0.352761
8:66676942-66677404	0.141474
3:107406721-107407300	1.22238
3:107351262-107362589	11.4803
8:4900113-4900509	3.02512
1:225333371-225334862	10.3746
10:4014578-4015124	0.259905
4:223616339-223617708	0.0446641
2:220646371-220647283	6.24548
3:217292976-217294257	0.146742
3:217231434-217244458	3.50145
10:60016334-60017275	2.86015
4:113136142-113140433	0
5:153481425-153482373	0.0855355
10:5271571-5272047	0.142631
10:85699123-85699848	0
1:202420521-202420824	1.68516
1:202410120-202412988	0.171104
7:41490317-41492934	1.6006
7:41470201-41471403	0.107711
1:132810229-132856187	0
