chromosome coordinate	FPKM
9:154015325-154018616	11.1751
6:57451485-57452847	0.186718
2:227303144-227304552	0
10:97749816-97750479	0.180975
8:163286933-163293539	0
8:163294980-163295307	0.385094
5:103995249-103998930	0.309535
4:236889763-236896419	2.82571
1:261093372-261094127	6.97286
8:31979542-31980835	0.144986
3:140687784-140688711	0.255862
9:38236083-38237808	0.0970355
1:2353787-2357370	0
3:61845090-61859202	0
1:9491185-9500155	0.211485
8:158898962-158899549	0.147545
10:71810094-71810736	0.155093
2:2896355-2896634	1.18024
8:144855030-144855641	3.67626
2:8514944-8515178	0
8:134716280-134716842	5.71228
2:229567791-229568184	0.190273
4:208486040-208488216	5.27764
4:208417833-208422780	1.78677
4:208411174-208412665	0.0944081
10:88588527-88608857	0.0745633
1:16626948-16628169	1.29226
4:148122752-148126811	0.15099
1:94996633-94999540	0
4:190959040-190959886	0.998392
3:155345464-155345816	55.4963
8:139014641-139020725	64.9595
4:44134083-44143261	0.323824
3:93501610-93512413	0.0348169
10:107227057-107227477	3.77232
8:149887724-149891509	0.583226
8:149902999-149909521	5.83407
9:83768424-83769892	0.569852
8:13441473-13442335	0.244318
4:32249637-32251551	155.124
4:32243053-32246208	47.0352
2:63944480-63944981	110.326
3:203169069-203171450	0
9:12246281-12248389	0
3:170538882-170540691	0.229561
1:257314462-257324941	0
8:154318949-154320050	0
7:72242503-72287055	0.0941633
4:237687525-237688759	0.216801
2:232947364-232947730	0.314003
2:232890802-232891213	2.66774
7:139525993-139526248	0
10:104263765-104264417	0.207378
6:69452454-69453675	0.060284
6:69566697-69567925	2.15773
1:31068643-31206122	0.922077
2:8166834-8167152	8.23926
2:8060364-8061161	1.91799
7:78342378-78372640	0.442233
7:78342378-78372640	0.032191
1:181633451-181635532	0.197865
7:148082946-148083258	1.09657
6:157510770-157511133	23.9279
4:223763562-223772524	4.52771
10:4584559-4586255	0.130086
10:4516273-4517728	2.38713
8:129065024-129065324	0.650051
7:159033699-159034362	12.4414
1:289500974-289502545	0
8:40041015-40042308	0.268611
8:126620837-126621472	0.10488
5:42459743-42460130	2.54807
1:75313872-75315704	0
1:75284748-75286397	2.90424
1:75283696-75284346	1.39997
7:105507164-105508617	7.68332
3:73135389-73137082	0
5:6871269-6874733	8.13048
UNKNOWN:803771-804403	0
2:75431987-75432446	2.52188
2:75419238-75423605	7.83323
9:74823666-74825516	0
3:128017972-128021050	0.090282
3:36464632-36464851	0
2:233250390-233251073	20.2919
8:150767524-150769119	0
9:32156814-32158679	0.0638342
5:78819802-78826612	7.46711
5:15703664-15718967	13.1545
5:15573933-15574756	0.125955
6:168355069-168365572	0.0723742
10:2480006-2481833	0.560024
10:2466639-2467603	0.824047
7:59140643-59141130	5.17676
10:26652885-26653317	2.06984
8:148503506-148509454	1.97626
1:192101695-192103976	9.03375
1:191987931-191990561	31.461
2:196050684-196097541	0.0975964
2:196188461-196189749	0
6:38328213-38329394	0.441758
6:38267492-38271173	0.888718
9:50807697-50808219	0
9:50702673-50703129	0
4:180264114-180265315	0.662234
1:271969587-271986783	0.685911
2:41898368-41901428	0.243327
5:104969845-104970052	5.64121
2:170674745-170681008	0
8:121414760-121417318	0
8:157386209-157395665	2.89337
4:203227054-203228144	0
1:63919028-63919998	3.56567
7:70622040-70626465	77.4726
1:21196692-21221560	1.11451
1:21245281-21246475	0.188355
3:223576188-223577802	0.396939
1:27401503-27406941	4.59433
3:227491352-227492181	0.648101
3:227494430-227495354	8.61289
6:89141657-89144248	0.124746
2:32405039-32405589	0
2:32496377-32499262	0.0958831
3:192774501-192779708	3.1745
8:151493439-151493835	5.20772
7:17517451-17517949	0.168915
10:98135180-98154139	86.9151
9:17014252-17017081	1.89722
9:17002566-17006457	0.132265
9:16996582-17000816	5.22506
9:16986487-16990375	0.461116
8:118165587-118167724	27.5332
8:118098924-118100026	0.230941
8:118103123-118103722	20.0193
8:118186656-118188309	15.8261
8:118191460-118195143	45.9656
8:118078272-118090836	0.73761
8:118092116-118093613	0.0268803
4:58521508-58522551	5.31137
9:146816173-146818566	104.592
10:106556120-106556546	0.206361
5:36832339-36833181	0.544706
3:72803540-72818054	0.239939
3:39580534-39580906	0
7:115285643-115286018	1.53967
4:210190454-210192502	3.93527
6:34750076-34752809	0.0194908
9:82665825-82666573	0.310211
8:47416474-47418545	0.215784
5:188388859-188390980	18.5632
5:198996187-198998115	0.718733
7:72579217-72579616	0.181289
5:128454833-128463337	0.445616
2:80578835-80579897	0.107653
2:138082397-138082724	0
2:188791939-188794503	0
2:188770908-188785073	0.853251
1:233330195-233331681	25.2576
10:1887301-1889559	2.42376
7:105065221-105069637	0.837815
7:101875319-101876777	1.32294
1:264181459-264181897	0
1:295106762-295189976	1.08274
7:97336350-97341531	8.18008
8:3372637-3373332	0.155181
10:102285649-102293029	0.629611
7:170099728-170103818	66.4835
1:274272062-274273156	0.0565226
6:152270388-152287492	0.211648
8:66676942-66677404	0
3:107406721-107407300	1.50515
3:107351262-107362589	12.0148
8:4900113-4900509	5.30481
1:225333371-225334862	0.855543
10:4014578-4015124	0.142817
4:223616339-223617708	0
2:220646371-220647283	5.97491
3:217292976-217294257	0.265601
3:217231434-217244458	4.324
10:60016334-60017275	12.1093
4:113136142-113140433	0.0652302
5:153481425-153482373	0
10:5271571-5272047	0
10:85699123-85699848	0.417835
1:202420521-202420824	3.24201
1:202410120-202412988	0.180949
7:41490317-41492934	0
7:41470201-41471403	0
1:132810229-132856187	1.45605
8:94631983-94633128	0.113762
4:127416146-127417191	1.86609
4:83615530-83617710	0.179263
2:218763243-218763453	4.65562
2:218749308-218749746	0.27332
2:218813639-218815132	0.0503059
8:142995658-143000733	3.3916
1:10989503-10990029	0.290144
8:146463133-146463855	2.59014
8:141828425-141828875	0.263284
8:134902881-134904730	31.8549
8:155048121-155050392	0.0724334
8:135454967-135456427	1.46793
8:95418475-95419577	0.39367
10:19588510-19590481	0
3:176451408-176452821	3.30866
2:235329844-235331604	0.0973992
7:113160833-113161289	0.589443
8:152733694-152733826	0
8:100995862-100996707	0.539682
2:65888773-65890442	0
1:67148033-67148423	0
8:36215488-36216358	0.162458
7:122114276-122129927	0.217947
8:5029175-5038529	0.0821357
8:138225305-138225551	136.907
10:129251134-129290754	0.120503
8:62915269-62915581	0
10:142038890-142039283	0
8:84958621-84960030	0.22979
8:84961530-84965218	14.0291
8:84983125-84983413	0.457605
10:74926912-74928203	0.0547763
7:76570564-76571020	0.568681
10:103068282-103073020	0.758266
7:138897206-138898177	0
8:145687321-145693572	0
7:153831981-153832311	2.52861
3:219191470-219198288	0.512588
4:48463879-48465797	0.0274059
1:165812006-165812252	0
1:165814483-165965196	2.08801
