reg	tgt	huang_leaf	huang_root	huang_sam	huang_seed	walley_rna
Zm00001d015127	Zm00001d018184	NA	NA	NA	NA	NA
Zm00001d015127	Zm00001d045706	NA	NA	NA	NA	NA
Zm00001d015127	Zm00001d049541	NA	NA	NA	NA	NA
Zm00001d015127	Zm00001d051163	NA	NA	NA	NA	NA
Zm00001d017782	Zm00001d017186	NA	NA	NA	NA	NA
Zm00001d017782	Zm00001d034635	NA	NA	NA	NA	NA
Zm00001d017782	Zm00001d037784	NA	NA	NA	NA	NA
Zm00001d017782	Zm00001d045055	NA	NA	NA	NA	NA
Zm00001d017782	Zm00001d051163	NA	NA	NA	NA	NA
Zm00001d017911	Zm00001d017274	NA	NA	NA	NA	NA
Zm00001d017911	Zm00001d044122	NA	NA	NA	NA	NA
Zm00001d017911	Zm00001d044340	NA	NA	NA	NA	NA
Zm00001d017911	Zm00001d051166	NA	NA	NA	NA	NA
Zm00001d023523	Zm00001d017077	NA	NA	NA	NA	NA
Zm00001d023523	Zm00001d017274	NA	NA	NA	NA	NA
Zm00001d023523	Zm00001d017275	NA	NA	NA	NA	NA
Zm00001d023523	Zm00001d051163	NA	NA	NA	NA	NA
Zm00001d023523	Zm00001d051166	NA	NA	NA	NA	NA
Zm00001d023523	Zm00001d051896	NA	NA	NA	NA	NA
Zm00001d023523	Zm00001d052673	NA	NA	NA	NA	NA
Zm00001d023931	Zm00001d003015	NA	NA	NA	NA	NA
Zm00001d023931	Zm00001d017274	0.00551989297987196	NA	0.011582416948889	NA	NA
Zm00001d023931	Zm00001d017275	NA	NA	NA	NA	NA
Zm00001d023931	Zm00001d032152	NA	NA	NA	NA	NA
Zm00001d023931	Zm00001d044122	NA	NA	NA	NA	NA
Zm00001d023931	Zm00001d045055	NA	NA	NA	NA	NA
Zm00001d023931	Zm00001d051163	NA	NA	NA	NA	NA
Zm00001d023931	Zm00001d051166	NA	NA	NA	NA	NA
Zm00001d025957	Zm00001d011438	NA	NA	NA	NA	NA
Zm00001d025957	Zm00001d017274	NA	NA	NA	NA	NA
Zm00001d025957	Zm00001d045055	NA	NA	NA	NA	NA
Zm00001d025957	Zm00001d051163	NA	NA	NA	NA	0.006029076
Zm00001d026096	Zm00001d017274	NA	NA	NA	NA	NA
Zm00001d026096	Zm00001d017276	NA	NA	NA	NA	NA
Zm00001d026096	Zm00001d020530	NA	NA	NA	NA	NA
Zm00001d026096	Zm00001d037784	NA	NA	NA	NA	NA
Zm00001d026204	Zm00001d003015	NA	NA	NA	NA	NA
Zm00001d026204	Zm00001d010521	NA	NA	NA	NA	NA
Zm00001d026204	Zm00001d017186	NA	NA	NA	NA	NA
Zm00001d026204	Zm00001d017274	NA	NA	NA	NA	NA
Zm00001d026204	Zm00001d017275	NA	NA	NA	NA	NA
Zm00001d026204	Zm00001d017276	NA	NA	NA	NA	0.005247234
Zm00001d026204	Zm00001d027711	NA	NA	NA	NA	NA
Zm00001d026204	Zm00001d032152	NA	NA	NA	NA	NA
Zm00001d026204	Zm00001d044122	NA	NA	NA	NA	NA
Zm00001d026204	Zm00001d051161	NA	NA	NA	NA	NA
Zm00001d026204	Zm00001d051163	NA	NA	NA	NA	NA
Zm00001d026204	Zm00001d051166	NA	NA	NA	NA	NA
Zm00001d026204	Zm00001d051870	NA	NA	NA	NA	NA
Zm00001d026447	Zm00001d012274	NA	NA	NA	NA	NA
Zm00001d026447	Zm00001d017186	NA	NA	NA	NA	NA
Zm00001d026447	Zm00001d017601	NA	NA	NA	NA	NA
Zm00001d026447	Zm00001d018184	NA	NA	NA	NA	NA
Zm00001d026447	Zm00001d027519	NA	NA	NA	NA	NA
Zm00001d026447	Zm00001d044122	NA	NA	NA	NA	NA
Zm00001d026447	Zm00001d044340	NA	NA	NA	NA	NA
Zm00001d026447	Zm00001d045706	NA	NA	NA	NA	NA
Zm00001d026447	Zm00001d052673	NA	NA	NA	NA	NA
Zm00001d026518	Zm00001d015618	NA	NA	NA	NA	NA
Zm00001d026518	Zm00001d018184	NA	NA	NA	NA	NA
Zm00001d026518	Zm00001d037849	NA	NA	NA	NA	NA
Zm00001d026518	Zm00001d049541	NA	NA	NA	NA	NA
Zm00001d027709	Zm00001d020530	NA	NA	NA	NA	NA
Zm00001d027709	Zm00001d032152	NA	NA	NA	NA	NA
Zm00001d027709	Zm00001d045055	NA	NA	NA	NA	NA
Zm00001d027709	Zm00001d049541	NA	NA	NA	NA	NA
Zm00001d028854	Zm00001d010521	NA	NA	NA	NA	NA
Zm00001d028854	Zm00001d012274	NA	NA	NA	NA	NA
Zm00001d028854	Zm00001d017274	NA	NA	NA	NA	NA
Zm00001d028854	Zm00001d017601	NA	NA	NA	NA	NA
